nome_cientifico,volume,pagina
Terminalia australis,3,463
Campomanesia guazumifolia,3,469
Caesalpinia pluviosa var. peltophoroides,3,477
Ceiba pentandra,3,485
Enterolobium timbouva,3,495
Spondias tuberosa,3,503
Vernonia discolor,3,511
Dodonaea viscosa,3,519
Plathymenia reticulata,3,527
Trattinnickia rhoifolia,4,63
Andira fraxinifolia,4,71
Cordia superba,4,79
Melanoxylon brauna,4,87
Symphonia globulifera,4,95
Trithrinax brasiliensis,4,105
Nectandra grandiflora,4,113
Terminalia argentea,4,121
Tabebuia aurea,4,129
Euplassa cantareirae,4,139
Senna spectabilis var. excelsa,4,147
Pityrocarpa moniliformis,4,155
Cedrela odorata,4,163
Sterculia striata,4,175
Ilex dumosa,4,183
Cecropia glazioui,4,191
Eschweilera ovata,4,199
Alseis floribunda,4,207
Albizia edwallii,4,215
Parkia gigantocarpa,4,223
Astronium fraxinifolium,4,231
Casearia decandra,4,241
Esenbeckia leiocarpa,4,251
Maytenus robusta,4,259
Vochysia magnifica,4,267
Campomanesia guaviroba,4,275
Inga virescens,4,283
Machaerium brasiliense,4,291
Guibourtia hymenaeifolia,4,299
Caesalpinia ferrea var. ferrea,4,305
Mimosa tenuiflora,4,313
Sapium glandulatum,4,321
Seguieria langsdorffii,4,331
Solanum lycocarpum,4,339
Manilkara subsericea,4,349
Schefflera macrocarpa,4,357
Agonandra brasiliensis subsp. brasiliensis,4,365
Bauhinia cheilantha,4,375
Licania rigida,4,383
Sclerolobium aureum,4,393
Ochroma pyramidale,4,401
Apeiba tibourbou,4,411
Physocalymma scaberrimum,4,419
Simarouba versicolor,4,427
Centrolobium paraense,4,435
Aspidosperma pyrifolium,4,445
Xylopia aromatica,4,455
Cinnamodendron dinisii,4,465
Tibouchina sellowiana,4,473
Rhamnidium elaeocarpum,4,481
Pterodon emarginatus,4,489
Erythrina speciosa,4,497
Bagassa guianensis,4,505
Lonchocarpus nitidus,4,513
Abarema brachystachya,4,521
Magonia pubescens,4,527
Virola sebifera,4,535
Eugenia pyriformis,4,545
Piptocarpha axillaris,4,555
Dalbergia cearensis,4,563
Luehea paniculata,5,63
Protium kleinii,5,71
Buchenavia tetraphylla,5,79
Carapa guianensis,5,87
Tachigali rugosa,5,99
Andira surinamensis,5,107
Annona rugulosa,5,115
Garcinia gardneriana,5,123
Posoqueria latifolia,5,133
Maytenus rigida,5,141
Mimosa pilulifera,5,149
Symplocos glanduloso-marginata,5,157
Butia eriospatha,5,163
Vochysia divergens,5,171
Cinnamomum sellowianum,5,179
Rapanea guianensis,5,187
Roupala cataractarum,5,197
Bertholletia excelsa,5,205
Pachira glabra,5,215
Poincianella pyramidalis,5,223
Styrax acuminatus,5,233
Sterculia curiosa,5,241
Scutia buxifolia,5,249
Solanum mauritianum,5,257
Parkia platycephala,5,265
Dasyphyllum tomentosum,5,273
Campomanesia rhombea,5,281
Cecropia sciadophylla,5,289
Inga edulis,5,297
Machaerium paraguariense,5,307
Dalbergia miscolobium,5,315
Platymiscium floribundum,5,323
Brosimum gaudichaudii,5,331
Oreopanax fulvus,5,339
Geoffroea spinosa,5,347
Lafoensia glyptocarpa,5,355
Miconia sellowiana,5,363
Bauhinia ungulata,5,371
Erythrina verna,5,379
Albizia inundata,5,387
Licania tomentosa,5,395
Eugenia multicostata,5,403
Cordia glazioviana,5,411
Handroanthus serratifolius,5,419
Lithrea brasiliensis,5,431
Esenbeckia grandiflora,5,439
Abarema langsdorffii,5,447
Banara parviflora,5,455
Aspidosperma subincanum,5,463
Centrolobium sclerophyllum,5,471
Sideroxylum obtusifolium subsp. obtusifolium,5,479
Sapindus saponaria,5,489
Croton urucurana,5,497
Lonchocarpus campestris,5,507
Pterodon pubescens,5,515
Piptadenia viridiflora,5,523
Vitex polygama,5,531
Picrasma crenata,5,539
Virola gardneri,5,547
Ilex brevicuspis,5,555
